"","destination","series","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia, Plurinational State of","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo, Democratic Republic of the","Congo","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guadeloupe","Guam","Guatemala","Guinea-Bissau","Guinea","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Republic of","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Democratic Peoples Republic of","Korea, Republic of","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libyan Arab Jamahiriya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Micronesia (Federated States Of)","Moldova, Republic of","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Palestine, State of","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saint Lucia","Samoa","San Marino","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan, Province of China","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States Virgin Islands","United States of America","Uruguay","Uzbekistan","Vanuatu","Venezuela, Bolivarian Republic of","Viet Nam","Yemen","Zambia","Zimbabwe"
"58","France","THSR","1","4","2","1","1","2","2","4","4","3","4","3","4","2","4","4","4","4","3","2","1","4","2","1","3","4","1","1","4","2","4","1","4","1","1","2","1","1","1","4","4","2","4","4","1","3","4","3","2","4","4","3","2","2","4","1","2","1","2","2","3","4","1","3","4","1","4","3","1","4","2","2","4","1","3","4","1","2","2","1","3","2","4","2","4","4","2","2","4","4","1","2","1","3","3","2","4","2","1","2","3","2","1","1","3","4","3","4","2","2","3","2","4","4","1","3","4","1","3","2","3","2","4","1","1","3","3","3","2","2","1","3","3","1","4","1","1","2","2","2","2","2","3","2","1","3","1","3","4","4","4","2","4","2","1","3","2","1","4","3","2","3","1","3","3","3","2","1","3","1","4","1","1","2","1","2","1","4","2","3","3","1","4","3","2","3","4","2","3","1","2","4","4","4","3","3","2","3","4","1","3","2","1","3","4","3","1","2"
"59","French Polynesia","THSR","2","3","4","2","2","3","4","2","4","1","4","2","4","2","1","2","1","3","4","4","3","3","1","4","1","3","3","4","1","1","4","1","2","4","4","3","1","2","4","2","3","1","1","3","1","2","2","4","1","1","1","3","4","3","4","3","2","4","2","1","2","3","4","4","1","1","4","3","3","3","4","4","2","4","3","4","2","3","2","2","2","2","2","2","3","1","4","2","2","1","1","4","1","2","1","2","4","2","3","3","2","2","4","1","4","1","3","1","4","3","3","4","3","1","4","1","1","1","1","3","2","3","3","1","4","3","1","1","2","1","3","3","1","2","4","4","4","4","3","3","2","1","3","4","2","4","1","4","4","1","1","4","3","3","1","2","4","2","4","3","1","3","1","1","2","4","1","2","3","1","4","1","4","3","3","3","2","3","2","1","4","1","3","1","2","4","3","1","4","4","4","3","2","2","2","4","4","1","2","4","2","3","2","1","1","1","2","1"
"60","Gambia","TFN","2","4","1","2","1","4","2","1","1","4","2","4","1","2","1","2","1","2","2","4","1","2","3","4","2","2","4","4","4","3","3","3","1","1","4","1","3","4","4","4","4","3","2","3","2","1","2","4","2","4","2","2","1","1","4","1","1","1","2","2","1","3","4","3","3","1","2","3","4","4","1","4","4","4","4","4","1","1","3","4","1","1","3","1","2","3","3","4","3","4","3","2","2","3","3","4","2","1","4","1","4","2","3","1","1","4","4","1","4","2","4","2","4","1","3","2","2","4","4","1","2","4","4","1","3","4","2","3","4","4","4","4","2","2","4","2","2","3","4","4","1","4","1","1","3","1","4","4","4","4","2","1","1","4","4","2","2","4","3","2","2","1","4","2","3","2","1","4","3","3","3","4","1","4","2","1","3","1","1","3","4","3","2","2","3","2","4","4","4","3","1","2","3","3","3","3","2","1","3","3","4","2","2","2","3","4","4","1"
"61","Georgia","VFR","4","1","4","1","2","2","3","3","4","3","2","2","1","1","3","1","1","3","1","2","3","4","3","3","1","3","1","1","4","1","4","1","1","3","3","4","1","2","3","4","2","2","1","4","3","3","3","2","3","4","3","3","4","4","3","4","1","2","4","4","1","4","4","3","1","2","4","4","4","1","2","3","3","3","4","4","1","4","3","4","1","1","3","3","3","3","4","3","3","4","3","2","1","1","1","1","2","2","2","3","2","3","1","3","1","3","3","4","2","2","4","3","2","4","2","2","2","1","2","2","4","3","2","2","4","1","4","4","1","1","1","1","4","4","1","2","2","3","4","2","2","3","1","4","1","3","1","3","1","3","2","4","3","1","3","1","4","1","1","4","3","1","4","3","3","4","2","3","2","4","2","2","2","4","3","4","3","2","1","4","3","2","1","4","3","2","3","3","2","3","3","4","3","1","4","3","4","1","3","1","2","4","1","3","3","3","4","4"
"62","Germany","THSR","3","3","2","2","3","3","4","2","4","3","3","1","1","3","1","4","1","2","1","4","1","1","2","1","2","1","3","2","3","2","2","2","3","1","4","4","2","1","3","4","1","2","3","2","1","4","4","4","3","1","1","2","4","3","3","1","1","3","1","3","2","2","2","2","4","2","3","4","4","4","3","3","4","2","4","2","3","1","1","3","3","1","4","3","3","4","3","3","1","4","3","3","4","2","4","3","1","3","2","3","2","3","1","3","4","2","1","3","4","2","3","3","2","3","4","3","3","3","3","1","3","4","2","3","2","1","4","4","2","1","3","2","2","3","4","1","4","3","4","3","1","3","1","1","1","2","1","2","2","1","2","1","4","1","4","2","3","2","4","1","4","4","1","2","1","2","1","2","3","3","4","3","2","3","1","2","1","4","3","3","3","2","4","3","4","1","2","3","3","4","4","3","3","1","4","4","2","1","4","1","4","3","1","3","3","2","2","2"
"63","Greece","THSR","2","2","1","1","2","3","2","2","3","4","3","4","1","1","3","3","4","1","1","3","3","1","1","4","2","2","3","2","3","1","2","2","1","4","1","3","1","3","2","4","1","2","3","2","1","2","1","2","2","2","4","3","4","1","4","3","1","2","3","4","4","4","3","4","3","1","2","2","4","2","3","4","1","1","3","2","4","4","1","2","3","2","1","4","3","1","1","2","2","2","2","1","1","3","4","1","3","1","2","1","4","2","3","2","3","1","1","1","3","1","2","4","4","4","2","1","3","3","3","1","4","1","1","4","3","4","3","3","1","1","4","2","4","3","4","3","3","3","4","4","4","3","4","4","2","2","3","2","2","2","3","3","4","2","1","4","4","1","2","3","1","1","3","4","4","1","4","1","1","3","3","3","3","4","2","3","1","4","1","3","3","4","4","4","1","2","3","3","2","2","3","2","3","1","4","2","2","3","1","4","1","3","3","1","2","1","4","3"
"64","Grenada","THSN","4","2","2","3","3","2","3","2","1","4","2","3","2","1","4","3","2","2","3","2","3","4","3","3","4","2","2","1","1","2","2","3","1","3","4","4","1","3","1","4","2","4","3","3","1","1","4","1","2","1","1","4","3","3","3","2","1","1","1","2","1","4","4","2","2","4","2","2","2","2","4","1","2","1","4","3","3","2","4","1","1","1","1","4","3","3","3","3","1","3","2","2","3","3","2","1","4","2","2","1","4","1","3","3","3","1","2","1","4","4","2","3","3","3","2","4","3","3","1","3","4","2","3","3","1","1","4","2","3","3","3","1","2","4","1","1","2","4","2","1","1","2","4","4","2","3","1","2","2","3","3","3","2","2","4","2","1","1","4","4","1","4","1","4","3","3","4","2","1","2","2","1","2","4","2","3","1","4","4","3","3","1","2","4","2","3","2","1","4","2","2","4","4","2","2","4","3","3","2","4","1","1","1","3","3","1","4","3"
"65","Guam","TFR","1","4","1","1","1","1","2","2","4","3","1","3","1","2","4","4","1","4","2","2","1","2","4","1","3","1","3","1","1","4","3","2","3","1","3","3","2","1","3","1","4","3","2","3","4","1","2","3","2","1","2","2","4","2","4","2","2","3","2","1","2","2","4","1","1","4","4","4","1","2","4","4","3","3","1","3","1","2","4","1","1","2","4","2","3","1","2","2","1","4","2","2","2","3","3","1","3","3","1","3","3","2","2","1","1","2","2","1","3","1","4","4","4","1","3","3","3","1","3","2","4","4","1","2","1","2","3","2","2","4","4","1","1","2","1","3","2","2","2","2","4","1","2","1","3","2","3","1","3","3","3","2","3","1","2","2","2","3","3","4","1","4","3","1","3","3","2","2","1","4","2","1","2","2","1","2","1","2","4","3","2","1","2","2","3","4","1","1","4","2","4","2","4","4","3","1","1","2","3","4","3","3","1","3","4","4","4","3"
"66","Guatemala","VFR","2","4","4","4","2","4","1","4","3","3","4","3","4","1","1","4","4","1","1","3","2","1","3","2","4","1","2","4","3","1","4","2","3","3","3","1","1","3","3","1","2","1","2","4","4","1","1","2","2","4","2","4","3","2","4","3","2","4","2","2","2","1","4","1","1","3","4","2","4","3","1","2","3","4","3","1","1","4","3","2","1","4","3","1","3","1","1","4","1","3","3","3","3","3","1","2","4","3","4","3","3","3","3","2","4","2","4","1","3","2","2","1","2","1","2","2","1","3","4","3","4","4","3","1","2","2","4","2","1","3","4","1","2","1","1","2","4","1","2","2","1","2","2","2","4","1","3","3","2","3","2","3","1","1","2","2","4","2","1","1","3","2","1","2","4","3","2","1","2","2","3","1","3","1","2","3","4","1","2","2","1","3","3","1","3","4","4","2","1","4","2","1","3","1","3","4","3","3","1","4","2","2","4","3","3","2","1","1"
"67","Guyana","TFR","4","1","3","3","2","3","1","2","1","3","1","1","2","3","2","1","2","1","3","1","1","2","2","1","4","3","4","3","1","4","1","1","1","2","1","4","2","1","3","4","3","3","3","4","2","3","4","3","4","3","4","4","3","4","4","2","4","3","2","4","2","4","4","3","4","1","3","1","2","4","4","3","3","2","4","3","1","4","3","4","3","2","4","1","3","3","2","3","3","2","3","3","4","4","2","4","3","1","1","2","1","2","4","2","4","3","2","1","3","1","3","3","3","1","2","3","2","4","4","3","2","4","4","3","3","3","4","1","1","4","4","1","2","3","3","2","2","2","1","1","4","4","1","2","2","2","2","2","2","4","4","4","2","2","3","3","4","2","3","1","3","1","2","4","3","1","1","1","3","4","1","1","2","2","3","4","3","2","2","3","1","4","4","1","1","4","3","2","4","3","2","2","2","3","2","1","2","1","4","4","1","1","4","4","1","4","3","4"
"68","Haiti","TFR","4","3","1","3","1","3","4","3","1","4","2","1","2","2","3","2","2","3","4","2","1","2","1","2","1","1","3","3","4","2","3","4","1","4","3","1","2","4","4","1","1","2","1","1","2","2","3","2","4","2","1","4","3","1","4","3","4","2","1","4","2","3","4","1","2","4","4","3","1","2","3","3","2","4","1","4","3","2","4","3","3","4","4","3","1","1","3","4","4","1","2","4","4","4","1","2","3","1","1","3","1","1","4","1","2","3","1","3","4","3","3","2","3","1","2","4","1","4","2","3","4","1","3","2","3","3","3","1","1","3","3","2","3","1","2","2","2","4","3","3","1","4","3","1","4","4","2","3","2","4","2","4","3","4","3","3","2","4","4","1","2","4","3","3","2","4","4","4","3","3","1","3","3","1","2","2","2","3","3","3","1","2","4","3","1","4","2","3","3","4","4","4","3","2","2","3","4","2","4","4","2","3","1","4","2","3","2","1"
"69","Honduras","TFN","3","2","4","1","1","1","4","4","1","1","1","1","1","3","4","2","2","1","4","4","2","1","4","2","1","2","2","4","1","4","1","4","4","4","4","2","4","2","3","3","3","3","3","2","1","4","1","3","1","1","3","3","4","2","4","1","1","3","1","3","1","2","4","4","1","4","4","3","3","4","1","2","2","3","4","3","2","1","1","1","2","3","2","4","2","2","2","3","2","3","1","4","2","4","3","1","1","1","3","2","2","2","2","3","4","3","4","2","3","1","2","2","2","2","1","3","2","3","1","4","2","1","4","3","4","4","4","3","4","4","2","2","2","4","1","1","2","1","1","2","3","2","3","2","4","4","1","2","3","4","1","1","3","4","1","2","3","3","3","2","3","4","1","3","3","1","1","3","2","1","1","3","3","4","2","3","2","3","1","3","1","2","4","2","4","3","3","3","1","4","1","1","1","4","3","1","4","1","4","3","4","2","3","4","2","3","4","3"
"70","Hong Kong, China","VFR","1","4","3","2","4","2","2","1","3","4","2","3","3","2","2","3","1","3","1","2","1","2","1","4","2","2","4","3","1","1","2","2","2","3","2","2","2","4","4","1","2","4","1","4","4","3","2","2","1","1","1","1","2","4","4","3","4","2","4","2","1","1","1","3","4","1","3","2","2","3","4","1","3","4","2","2","1","3","3","4","4","1","1","2","2","3","2","2","4","4","4","4","4","3","3","3","2","2","2","3","2","2","1","3","3","3","2","4","3","2","1","2","4","1","2","3","1","2","1","2","4","1","4","1","1","1","1","4","1","4","4","2","2","3","3","2","1","4","2","3","2","1","2","2","1","1","3","2","4","3","2","3","3","3","2","3","1","2","4","4","1","1","4","4","3","3","2","1","3","3","4","1","4","1","3","1","4","3","4","2","4","2","1","2","4","3","3","3","1","1","3","1","4","3","1","1","2","4","3","2","2","3","4","1","4","1","1","2"
"71","Hungary","VFN","3","2","2","3","1","2","4","2","4","2","3","2","3","3","1","1","1","4","3","2","3","1","4","1","1","2","3","3","2","4","1","2","4","1","3","1","1","2","3","2","2","1","1","4","4","1","3","1","1","1","2","3","1","2","2","4","4","1","3","1","2","1","2","3","3","2","2","3","4","2","4","2","4","2","1","1","3","2","1","4","3","1","3","3","4","1","4","4","2","1","2","2","2","4","2","1","2","2","2","3","4","2","4","2","1","3","1","2","2","1","4","3","1","1","1","1","3","2","1","2","1","3","2","3","2","1","1","2","2","3","2","3","4","2","2","4","2","2","1","3","2","3","3","1","2","1","2","1","2","4","2","1","2","2","1","2","4","1","2","2","3","1","4","4","1","2","3","2","4","1","2","2","3","4","4","3","3","3","1","4","1","3","4","2","4","2","1","3","2","2","1","2","3","1","4","2","4","3","2","3","2","4","1","4","1","1","1","4"
"72","Iceland","THSN","4","3","3","4","2","4","1","1","2","2","3","1","1","2","1","4","1","3","3","3","4","2","2","2","4","2","3","1","3","2","2","1","3","3","2","1","2","1","3","4","3","3","3","4","3","1","1","3","4","2","4","1","4","1","3","3","1","3","2","2","1","4","1","3","1","1","3","2","1","2","1","3","4","1","1","2","3","2","1","3","1","2","2","4","3","2","1","3","1","2","1","3","3","3","1","1","3","1","3","4","1","3","1","4","4","3","1","1","3","4","4","3","1","1","4","2","1","1","4","4","2","2","3","3","2","3","3","4","4","4","1","2","1","1","2","1","1","4","3","2","2","1","1","1","1","1","2","3","2","4","2","3","2","1","1","1","4","4","4","3","2","3","1","4","4","1","4","3","3","4","2","1","3","1","3","2","2","4","3","1","4","2","3","3","1","1","4","1","1","1","2","3","4","2","4","4","2","4","3","3","2","3","3","4","2","2","4","1"
"73","India","TFN","2","2","4","1","3","2","2","2","3","3","4","2","4","3","1","1","3","1","1","2","1","4","1","4","4","4","1","1","1","4","4","1","1","2","2","3","3","3","4","4","4","3","3","3","1","2","4","2","4","1","3","1","2","2","3","1","2","4","3","3","3","3","3","1","1","4","2","1","3","4","3","4","2","1","1","1","2","3","4","2","2","2","4","3","4","3","2","2","4","4","1","1","2","4","3","4","1","1","2","1","3","4","1","1","3","2","1","4","4","3","1","1","1","4","2","1","3","3","2","4","3","4","4","1","1","2","3","1","2","2","2","4","4","4","1","3","4","4","4","4","4","1","3","1","3","4","3","1","4","4","3","4","4","3","3","4","1","1","2","4","2","4","3","3","2","1","2","4","3","1","4","4","4","4","1","4","1","3","1","3","2","4","2","3","4","4","4","2","3","4","1","1","4","4","3","2","1","4","2","2","1","4","4","4","2","3","1","4"
"74","Indonesia","VFN","4","1","4","4","1","4","3","3","2","4","2","4","2","1","4","2","4","2","2","4","3","3","4","4","3","2","4","1","1","4","3","1","2","3","4","4","2","1","3","2","4","3","1","3","1","1","1","2","2","3","4","4","4","1","2","2","2","1","1","1","1","1","3","4","4","4","2","1","1","4","3","4","2","3","2","2","4","2","3","4","2","3","1","4","3","4","3","3","2","4","3","4","4","1","2","4","1","2","4","1","1","2","3","2","3","3","3","4","3","2","2","2","4","3","1","4","4","2","1","3","2","3","3","4","1","4","2","3","1","3","1","4","4","2","2","1","3","4","3","3","1","3","1","4","1","1","3","4","4","1","2","4","1","4","4","1","2","3","2","1","2","3","2","2","2","4","4","4","2","4","1","2","2","1","2","3","1","2","2","1","2","4","3","2","3","3","1","4","3","2","1","3","4","2","3","1","4","1","1","1","2","1","1","3","2","4","2","4"
"75","Iran, Islamic Republic of","VFN","2","2","2","1","4","4","4","2","1","3","1","1","1","4","4","4","2","1","3","2","2","4","2","3","3","4","2","2","2","3","4","2","3","2","3","1","1","4","1","3","2","2","4","4","4","4","4","3","4","1","3","3","2","4","4","2","3","4","2","4","1","1","1","1","1","2","4","1","1","1","1","1","1","2","3","1","4","2","2","1","2","1","3","4","2","4","4","3","2","3","1","3","1","2","4","3","3","3","2","3","1","4","4","4","3","2","3","1","4","4","1","2","2","1","1","3","4","2","4","4","1","2","2","3","2","1","4","2","4","2","3","1","4","4","3","3","1","2","2","3","2","3","1","2","3","1","3","3","2","4","3","3","2","2","2","1","3","1","2","2","3","4","1","3","1","2","4","2","3","3","2","4","4","1","1","2","3","2","2","1","1","1","3","4","2","3","2","3","4","3","1","3","2","2","1","1","3","3","4","2","4","4","3","1","3","3","3","4"
"76","Ireland","TFR","2","3","4","3","3","1","1","2","3","1","4","3","4","2","4","4","2","1","4","4","4","4","3","3","4","1","3","2","1","1","4","1","2","2","1","3","4","4","2","3","1","3","3","3","4","4","2","1","1","2","4","3","1","3","4","2","1","2","2","4","2","3","2","1","1","3","4","1","4","3","1","2","4","4","1","4","1","1","1","4","3","2","4","4","3","4","4","1","1","1","1","2","1","3","1","1","4","4","4","3","2","2","3","1","3","1","2","3","4","1","3","3","1","2","2","1","2","4","4","4","4","2","2","3","2","3","1","2","4","4","1","3","2","2","2","4","1","2","2","3","1","4","3","3","2","1","1","4","4","4","1","4","4","1","4","3","3","2","3","1","3","2","3","1","4","3","3","3","1","3","4","2","2","2","3","4","1","2","3","4","3","1","1","2","4","2","1","3","2","3","3","3","2","4","4","1","2","1","4","4","4","3","2","3","3","3","1","2"
"77","Israel","VFR","2","1","4","4","1","1","2","1","3","3","4","2","1","1","2","1","1","3","2","4","3","2","1","2","2","1","3","2","3","2","4","1","4","3","3","4","4","1","1","3","1","2","1","4","1","4","3","1","2","4","3","4","3","2","3","2","4","2","1","2","3","2","4","4","1","3","1","1","3","4","4","1","2","2","1","3","2","2","3","4","1","1","2","4","2","1","1","4","2","1","3","4","1","3","3","3","3","4","1","4","3","4","3","1","2","3","2","1","4","4","2","1","1","4","4","1","4","2","2","3","2","1","1","3","4","1","1","3","4","3","1","2","1","2","3","4","1","3","1","2","2","1","3","3","3","4","1","3","1","1","3","4","2","2","1","1","4","3","2","2","1","4","2","1","3","1","3","3","2","3","2","3","2","1","1","1","3","3","1","3","1","4","1","1","1","3","3","1","1","3","2","3","3","1","3","3","1","2","4","3","2","4","3","2","3","1","4","1"
"78","Italy","VFN","1","1","2","3","2","1","3","3","2","2","3","4","3","4","1","2","2","2","3","2","3","2","2","2","4","4","3","1","2","4","1","1","3","3","4","1","3","1","4","3","3","4","2","1","4","4","1","4","3","4","1","4","3","1","4","2","1","2","1","1","2","1","2","3","3","4","2","2","2","1","3","1","3","1","4","4","2","1","1","3","4","1","1","1","2","1","4","4","1","3","4","1","1","4","2","4","1","3","2","1","4","2","2","1","3","3","1","4","4","3","1","3","3","2","3","3","4","2","4","4","4","2","3","3","2","3","2","4","2","1","2","1","1","3","2","3","3","3","2","2","1","3","1","2","4","1","4","2","2","4","3","2","4","3","4","4","1","2","2","3","4","4","2","3","3","4","4","3","1","2","2","2","4","2","1","4","4","2","2","4","2","3","1","4","4","2","3","1","4","2","2","1","4","3","2","3","3","1","3","1","2","4","4","4","4","4","4","1"
"79","Jamaica","TFR","1","4","1","1","4","1","1","2","2","1","3","1","2","1","3","1","3","3","2","2","1","2","3","4","2","4","2","1","4","1","1","1","2","2","4","2","4","2","2","1","4","3","3","2","1","1","2","1","3","1","2","1","1","2","2","4","1","3","4","4","2","4","2","2","1","2","4","3","4","4","1","2","1","4","4","4","3","4","2","4","3","1","4","3","1","3","2","3","3","4","4","2","1","3","4","3","1","3","1","3","2","1","1","4","2","3","2","1","2","2","1","2","3","3","4","3","2","3","4","4","4","4","1","2","2","1","2","4","4","2","2","2","2","1","4","3","2","1","3","2","3","3","4","3","2","3","3","3","3","3","3","1","2","4","1","2","3","1","3","2","2","4","1","3","4","1","1","1","1","3","1","1","4","2","1","1","4","3","2","3","1","3","4","4","3","2","1","2","3","1","4","2","4","4","1","1","3","3","4","4","4","2","1","3","1","2","2","2"
"80","Japan","VFN","4","4","4","3","4","2","1","1","2","4","3","1","4","1","1","1","3","3","2","3","3","2","2","4","4","2","2","1","1","3","4","4","2","2","4","1","4","4","2","4","2","3","3","4","1","1","3","4","1","1","3","4","2","2","1","1","3","3","2","2","3","1","1","2","4","3","2","3","4","2","1","1","4","2","4","4","2","2","3","2","3","2","2","3","4","1","4","4","3","3","4","4","1","3","1","1","4","2","1","4","2","3","1","4","1","4","3","4","1","4","3","3","1","4","4","3","2","1","4","2","4","4","1","3","4","2","2","4","2","4","3","2","2","2","2","1","4","3","1","4","3","1","2","2","1","2","1","2","2","1","4","4","2","3","3","3","2","1","2","1","3","2","1","2","1","4","4","4","4","3","3","4","2","2","4","2","2","3","2","3","4","2","2","1","3","2","2","3","1","4","4","3","1","1","3","1","4","4","1","2","2","4","3","3","1","2","4","2"
"81","Jordan","VFN","1","2","3","1","3","3","3","3","4","1","2","3","1","3","2","1","2","4","1","1","4","2","1","1","4","3","4","4","2","2","4","4","4","2","2","2","1","4","3","3","1","3","3","1","3","2","4","3","3","2","3","1","1","1","4","2","3","1","3","1","1","2","3","4","2","2","1","1","3","3","1","1","1","2","3","1","2","2","1","2","1","3","1","3","4","4","4","1","3","2","2","3","2","4","3","2","2","1","3","1","3","4","3","2","2","2","3","1","4","2","2","1","2","4","4","1","2","1","4","3","4","3","3","4","2","4","4","1","3","1","3","3","1","1","4","2","2","2","3","2","2","3","1","3","4","4","2","2","4","2","4","2","3","2","1","4","2","2","3","2","1","4","2","1","4","3","4","4","1","4","1","2","3","2","3","2","1","1","4","3","2","2","3","3","3","2","1","2","3","2","3","4","4","1","4","1","3","2","2","1","2","4","4","1","3","4","4","2"
"82","Kazakhstan","VFR","4","4","2","2","2","1","3","4","3","1","3","4","4","1","3","4","3","4","4","4","2","2","1","2","4","4","2","2","2","2","2","2","1","3","4","3","1","1","1","1","4","2","3","4","3","4","1","1","3","3","4","4","3","4","4","1","2","3","2","2","4","2","2","2","1","3","4","4","2","1","4","3","1","2","4","2","2","1","2","1","4","1","3","1","4","3","1","2","4","3","4","1","3","4","1","2","4","3","2","2","3","2","2","3","2","4","1","3","1","3","2","1","3","4","3","4","3","3","3","1","4","1","2","4","2","1","1","1","2","3","3","3","3","2","2","3","3","3","1","1","2","4","1","1","1","2","3","2","4","1","2","2","4","4","2","2","1","1","1","2","2","1","4","3","1","4","1","4","3","4","4","2","2","2","3","1","4","2","2","4","4","2","3","4","1","3","2","2","3","3","1","2","3","2","3","4","3","3","2","1","3","2","3","4","3","2","2","2"
"83","Kenya","VFR","1","4","1","1","4","4","1","1","2","3","1","4","3","4","1","4","2","1","4","4","4","4","2","3","4","2","3","3","2","3","4","2","2","3","1","1","3","4","4","4","4","3","2","1","2","4","3","1","2","3","2","1","4","4","1","3","1","2","4","4","2","1","2","2","3","1","3","2","1","3","4","1","4","2","2","4","3","1","1","4","1","1","3","4","4","1","3","3","3","1","3","3","1","2","4","4","1","3","4","2","4","1","2","4","1","1","2","2","3","4","1","2","4","3","4","4","4","2","3","1","1","1","4","3","4","3","2","2","3","1","2","3","2","2","1","1","4","1","2","2","3","1","1","1","4","3","2","1","3","4","1","3","1","1","2","2","4","3","4","4","3","3","4","1","4","4","4","4","2","3","3","4","3","3","2","4","1","1","3","1","4","2","1","4","2","4","3","1","1","1","3","3","1","3","4","3","3","1","2","1","1","2","3","2","2","1","4","2"
"84","Kiribati","TFN","2","4","1","2","2","4","2","1","3","4","1","4","1","4","3","4","4","3","2","4","2","4","1","4","4","4","4","4","1","3","3","4","4","2","4","3","4","4","1","4","4","2","3","3","2","2","3","2","2","3","3","1","2","3","2","1","4","4","2","2","3","2","3","2","2","4","2","3","3","1","1","1","3","3","1","4","1","3","1","1","1","4","3","1","2","2","2","2","4","4","1","3","1","2","2","3","2","2","4","1","1","4","2","4","4","3","2","4","2","3","2","2","1","1","1","4","2","3","3","1","3","1","2","2","2","3","1","4","1","3","2","4","1","2","4","3","1","4","1","3","2","3","2","4","1","3","1","2","4","1","1","3","4","3","3","4","2","3","1","1","3","4","1","1","3","2","3","3","4","1","2","1","1","2","2","2","1","3","4","3","2","1","1","3","1","4","4","4","4","1","3","3","4","1","2","2","1","3","3","2","4","2","3","2","4","3","2","4"
"85","Korea, Republic of","VFN","2","2","4","3","4","1","2","2","3","2","1","1","1","3","2","2","4","4","4","1","3","1","1","3","1","3","1","3","4","4","3","2","2","3","1","1","1","2","1","1","1","4","1","1","4","1","2","4","2","2","3","3","2","1","2","1","2","3","3","3","3","3","2","4","3","2","3","1","3","3","2","1","1","3","1","3","3","2","2","4","4","3","4","1","4","1","2","4","3","4","4","2","2","1","4","4","2","3","1","2","1","1","3","3","1","2","3","4","1","2","2","4","3","2","4","3","3","2","2","3","4","4","4","2","3","2","3","2","1","4","3","3","2","3","4","1","1","1","3","1","3","2","4","4","4","3","4","4","4","2","1","1","3","1","2","3","3","1","3","3","3","2","4","4","3","4","3","2","2","1","4","4","2","2","4","2","1","4","2","2","4","3","1","1","1","2","4","4","1","4","2","3","3","1","4","1","2","4","3","2","1","2","2","3","1","4","1","4"
"86","Kuwait","VFN","2","2","4","3","4","1","1","3","2","2","4","2","3","2","3","4","1","2","3","4","3","4","3","2","2","3","3","2","4","3","4","4","3","3","1","3","2","2","1","3","1","4","4","1","3","1","3","4","3","3","4","1","4","2","2","1","1","2","4","3","4","4","2","2","3","1","2","3","3","4","1","2","4","4","2","4","3","4","3","2","2","3","4","2","1","4","2","1","2","4","1","4","1","2","1","4","3","1","4","3","4","4","3","4","4","4","1","1","2","4","4","4","3","2","2","1","1","4","2","3","1","3","3","1","4","3","4","4","4","3","2","2","4","2","3","4","4","1","2","2","2","1","4","3","3","1","2","3","3","1","1","2","3","4","4","3","4","4","1","2","1","3","4","3","3","4","1","3","1","4","4","4","2","4","1","2","3","1","2","1","3","3","2","2","2","3","2","2","3","2","1","3","4","3","1","3","3","2","1","1","2","3","4","3","2","2","2","4"
